SV_status,IR_type,quantile_size,median_size,count,min_size,max_size
no_SV,convergent,25% < IR ≤ 50%,215,1074,126,347
no_SV,convergent,50% < IR ≤ 75%,576,1077,348,974
no_SV,convergent,75% < IR ≤ 100%,1862,1081,977,23299
no_SV,convergent,IR ≤ 25%,58,1091,1,125
no_SV,divergent,25% < IR ≤ 50%,774,1272,459,1170
no_SV,divergent,50% < IR ≤ 75%,1660.5,1270,1171,2394
no_SV,divergent,75% < IR ≤ 100%,3771.5,1270,2396,42205
no_SV,divergent,IR ≤ 25%,233,1271,4,458
no_SV,parallel,25% < IR ≤ 50%,565.5,2860,366,824
no_SV,parallel,50% < IR ≤ 75%,1171,2868,825,1749
no_SV,parallel,75% < IR ≤ 100%,2826.5,2866,1750,86670
no_SV,parallel,IR ≤ 25%,218.5,2874,1,365
with_SV,convergent,25% < IR ≤ 50%,1440,182,812,2248
with_SV,convergent,50% < IR ≤ 75%,3502,182,2262,5708
with_SV,convergent,75% < IR ≤ 100%,10384,183,5748,334003
with_SV,convergent,IR ≤ 25%,428,183,29,809
with_SV,divergent,25% < IR ≤ 50%,2492,316,1605,3397
with_SV,divergent,50% < IR ≤ 75%,4701,315,3398,6389
with_SV,divergent,75% < IR ≤ 100%,11497,316,6399,440254
with_SV,divergent,IR ≤ 25%,981,316,24,1604
with_SV,parallel,25% < IR ≤ 50%,1704,644,1154,2508
with_SV,parallel,50% < IR ≤ 75%,3667,645,2512,5307
with_SV,parallel,75% < IR ≤ 100%,9043,645,5308,490689
with_SV,parallel,IR ≤ 25%,656.5,646,18,1152
